Search title,title,lyrics,credits/comments,google drive link/embedded file,youtube link
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
"Avinu Av Harachaman, אָבִֽינוּ אָב הָרַחֲמָן",,"אָבִֽינוּ אָב הָרַחֲמָן
הַמְרַחֵם רַחֵם עָלֵֽינוּ <br>
(טאַטֶע, אוֹי טאַטֶע)<br>
וְתֵן בְּלִבֵּנוּ בִּינָה<br>
לְהָבִין וּלְהַשְׂכִּיל<br>
לִשְׁמוֹעַלִ לְמוֹד וּלְלַמֵּד<br>
לִשְׁמוֹר  וְלַעֲשׂוֹת <br>
וּלְקַיֵּם אֶת כָּל דִּבְרֵי<br>
תַלְמוּד תּוֹרָתֶךָ בְּאַהֲבָה",,,"https://www.youtube.com/watch?v=zV_GSoaOJFo, https://www.youtube.com/watch?v=-DACmtfohHE"
"avinu malkeinu ein lanu melech,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ",,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ אֶלָּא אָתָּה,,,https://youtu.be/I5Z_D97X24g?t=76
Acheinu,,"אַחֵינוּ כָּל בֵּית יִשְׂרָאֵל, 
הַנְּתוּנִים בְּצָרָה וּבַשִּׁבְיָה, 
הָעוֹמְדִים בֵּין בַּיָּם וּבֵין בַּיַּבָּשָׁה, 
הַמָּקוֹם יְרַחֵם עֲלֵיהֶם
וְיוֹצִיאֵם מִצָּרָה לִרְוָחָה
וּמֵאֲפֵלָה לְאוֹרָה, 
וּמִשִּׁעְבּוּד לִגְאֻלָּה, 
הַשְׁתָּא בַּעֲגָלָא וּבִזְמַן קָרִיב.. ",,,https://youtu.be/q4PxCtN5BgE
Ilan Ilan,,"אִילָן אִילָן בַּמָּה אֲבָרֶכְךָ 
שֶׁיְּהוּ פֵּירוֹתֶיךָ מְתוּקִין
הֲרֵי פֵּירוֹתֶיךָ מְתוּקִין
שֶׁיְּהֵא צִילְּךָ נָאֶה
הֲרֵי צִילְּךָ נָאֶה
אֶלָּא יְהִי רָצוֹן 
שֶׁכׇּל נְטִיעוֹת
שֶׁנּוֹטְעִין מִמְּךָ יִהְיוּ כְּמוֹתְךָ",,,"https://www.youtube.com/watch?v=pSiwTwYYO94&pp=ygUJaWxhbiBpbGFu, https://youtu.be/VUaAAj3t_HU"
Ein Aroch,,"אֵין עֲרוֹךְ לְךָ, וְאֵין זוּלָתֶֽךָ
אֶֽפֶס בִּלְתֶּֽךָ, וּמִי דּֽוֹמֶה לָּךְ
אֵין עֲרוֹךְ לְךָ, הַ׳ אֱלֹקינוּ, בָּעוֹלָם הַזֶּה
 וְאֵין זוּלָתְךָ מַלְכֵּֽנוּ לְחַיֵּי הָעוֹלָם הַבָּא",,,"https://www.youtube.com/watch?v=eTBqH3QlTJQ, https://www.youtube.com/watch?v=qlpj_7qXmlY&pp=ygUPZWluIGFyb2NoIGxlY2hh"
"Proik, Prok",,"אֱלָהָא דִּי לֵהּ יְקַר וּרְבוּתָא
פְּרוֹק יַת עָנָךְ מִפּוּם אַרְיְוָתָא
וְאַפֵּיק יַת עַמֵּךְ מִגּוֹ גָלוּתָ
עַמֵּךְ דִּי בְחַרְתְּ מִכָּל אֻמַּיָּא",,,"https://www.youtube.com/watch?v=medQfTWMs8Q, https://www.youtube.com/watch?v=DLVLnKaSt1Q"
