alt title,title,lyrics,credits/comments,google drive link,youtube link,
"Avinu Av Harachaman, אָבִֽינוּ אָב הָרַחֲמָן",,"אָבִֽינוּ אָב הָרַחֲמָן
הַמְרַחֵם רַחֵם עָלֵֽינוּ 
(טאַטֶע, אוֹי טאַטֶע)
וְתֵן בְּלִבֵּנוּ בִּינָה
לְהָבִין וּלְהַשְׂכִּיל
לִשְׁמוֹעַלִ לְמוֹד וּלְלַמֵּד
לִשְׁמוֹר  וְלַעֲשׂוֹת 
וּלְקַיֵּם אֶת כָּל דִּבְרֵי
תַלְמוּד תּוֹרָתֶךָ בְּאַהֲבָה",,,"https://www.youtube.com/watch?v=zV_GSoaOJFo, https://www.youtube.com/watch?v=-DACmtfohHE",
"avinu malkeinu ein lanu melech,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ",,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ אֶלָּא אָתָּה,,,https://youtu.be/I5Z_D97X24g?t=76,
,,"אַחֵינוּ כָּל בֵּית יִשְׂרָאֵל, 
הַנְּתוּנִים בְּצָרָה וּבַשִּׁבְיָה, 
הָעוֹמְדִים בֵּין בַּיָּם וּבֵין בַּיַּבָּשָׁה, 
הַמָּקוֹם יְרַחֵם עֲלֵיהֶם
וְיוֹצִיאֵם מִצָּרָה לִרְוָחָה
וּמֵאֲפֵלָה לְאוֹרָה, 
וּמִשִּׁעְבּוּד לִגְאֻלָּה, 
הַשְׁתָּא בַּעֲגָלָא וּבִזְמַן קָרִיב.. ",,,https://youtu.be/q4PxCtN5BgE,
,,"אִילָן אִילָן בַּמָּה אֲבָרֶכְךָ 
שֶׁיְּהוּ פֵּירוֹתֶיךָ מְתוּקִין
הֲרֵי פֵּירוֹתֶיךָ מְתוּקִין
שֶׁיְּהֵא צִילְּךָ נָאֶה
הֲרֵי צִילְּךָ נָאֶה
אֶלָּא יְהִי רָצוֹן 
שֶׁכׇּל נְטִיעוֹת
שֶׁנּוֹטְעִין מִמְּךָ יִהְיוּ כְּמוֹתְךָ",,,"https://www.youtube.com/watch?v=pSiwTwYYO94&pp=ygUJaWxhbiBpbGFu, https://youtu.be/VUaAAj3t_HU",
,,"אֵין עֲרוֹךְ לְךָ, וְאֵין זוּלָתֶֽךָ
אֶֽפֶס בִּלְתֶּֽךָ, וּמִי דּֽוֹמֶה לָּךְ
אֵין עֲרוֹךְ לְךָ, הַ׳ אֱלֹקינוּ, בָּעוֹלָם הַזֶּה
 וְאֵין זוּלָתְךָ מַלְכֵּֽנוּ לְחַיֵּי הָעוֹלָם הַבָּא",,,"https://www.youtube.com/watch?v=eTBqH3QlTJQ, https://www.youtube.com/watch?v=qlpj_7qXmlY&pp=ygUPZWluIGFyb2NoIGxlY2hh",
,,"אֱלָהָא דִּי לֵהּ יְקַר וּרְבוּתָא
פְּרוֹק יַת עָנָךְ מִפּוּם אַרְיְוָתָא
וְאַפֵּיק יַת עַמֵּךְ מִגּוֹ גָלוּתָ
עַמֵּךְ דִּי בְחַרְתְּ מִכָּל אֻמַּיָּא",,,"https://www.youtube.com/watch?v=medQfTWMs8Q, https://www.youtube.com/watch?v=DLVLnKaSt1Q",
,,"אֵלֶיךָ ה' אֶקְרָא; וְאֶל- ה', אֶתְחַנָּנ
שְׁמַע-ה' וְחָנֵּנִי; ה' הֱיֵה-עֹזֵר לִי ",,,https://www.youtube.com/watch?v=WvH3CdtkgQ0,
,,"אֱלקי נְשָׁמָה שֶׁנָּתַתָּ בִּי טְהורָה הִיא
אַתָּה בְרָאתָהּ, אַתָּה יְצַרְתָּהּ
אַתָּה נְפַחְתָּהּ בִּי וְאַתָּה מְשַׁמְּרָהּ בְּקִרְ
בִּי וְאַתָּה עָתִיד לִטְּלָהּ מִמֶּנִּי
וּלְהַחֲזִירָהּ בִּי לֶעָתִיד לָבוֹא",Baruch Levine,,https://www.youtube.com/watch?v=1a2oVRiiwyE,
,,"אַל תִּירָא כִּי יַעֲשִׁר אִישׁ
כִּי יִרְבֶּה כְּבוֹד בֵּיתוֹ. 
כִּי לֹא בְמוֹתוֹ יִקַּח הַכֹּל 
לֹא יֵרֵד אַחֲרָיו כְּבוֹדוֹ",Miami,,https://www.youtube.com/watch?v=1a2oVRiiwyE,
,,"אִם אֶשְׁכָּחֵךְ יְרוּשָׁלָיִם, תִּשְׁכַּח יְמִינִי. 
תִּדְבַּק לְשׁוֹנִי לְחִכִּי אִם לֹא אֶזְכְּרֵכִי, 
אִם לֹא אַעֲלֶה אֶת יְרוּשָׁלַֽיִם
עַל רֹאשׁ שִׂמְחָתִי",Shwekey,,https://www.youtube.com/watch?v=3Em9oLEP5EM,
